what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.team.SimplePush",1300457976254
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300457976529
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300457978232
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300457978303
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300457987744
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300457987899
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300457996712
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300457999308
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1300458000433
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458037341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458037680
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458039079
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458039138
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458047408
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458050940
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458052249
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458052397
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458119062
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.team.Pull",1300458124255
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458124531
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458130958
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.team.SimplePush",1300458137397
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458137673
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458140042
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458140121
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458142510
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.team.Pull",1300458149766
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458150042
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458154195
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1300458156626
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458168865
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458184347
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300458194621
stopped,bundle,com.instantiations.designer.gxt.databinding,8.0.0.r35x201009160831,"com.instantiations.designer.gxt.databinding",1300458195391
stopped,bundle,com.instantiations.designer.gwt.ExtGWT,8.0.0.r35x201009160831,"com.instantiations.designer.gwt.ExtGWT",1300458195391
