what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1300615630160
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1300615630162
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1300615630467
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1300615634557
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1300615638965
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1300615641425
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1300615642968
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300615644607
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1300615646963
activated,editor,com.instantiations.designer.core,8.0.0.r35x201009160631,"com.instantiations.designer.core.guiEditor",1300615648132
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1300615650047
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615650943
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615651215
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1300615658101
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1300615658206
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615658701
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615658981
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615659149
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615660243
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615660762
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615660868
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300615661691
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615664657
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615665602
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615672953
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615683838
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615725379
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615727761
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615731922
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615734308
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615745633
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615749581
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615758843
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615764162
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1300615764239
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615771293
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615775529
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615777894
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615780018
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615784655
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615785942
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615787791
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615789923
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615795662
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300615799011
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615801378
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300615801726
error,log,,,"Designer [8.0.0.r35x201009160631]: org.eclipse.jface.text.BadLocationException",1300615811990
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300615813614
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615818605
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615890877
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1300615892864
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615896827
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615902861
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300615903009
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300615903198
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1300615907015
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300615910222
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615911418
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615914053
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1300615915954
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615916900
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615917191
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300615919161
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615923786
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615930192
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1300615937540
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1300615941961
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300615947945
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615949414
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615963787
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1300615980440
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300615984032
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615985394
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300615990574
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1300616039124
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1300616051704
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300616055564
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1300616057685
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1300616059513
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300616059844
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300616064267
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300616075947
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1300616080048
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1300616086356
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1300616093422
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300616095034
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1300616100106
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1300616100498
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1300616104929
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300616105386
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300616106680
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1300616110665
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300616112448
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300616113640
