what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617095567
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617097060
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617099963
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617104655
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617107350
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617120583
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617132411
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300617132648
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300617133107
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1300617133976
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617137510
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617140463
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1300617140505
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300617145359
activated,editor,com.instantiations.designer.core,8.0.0.r35x201009160631,"com.instantiations.designer.core.guiEditor",1300617145812
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300617145812
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1300617146378
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617148386
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617149951
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1300617150000
activated,editor,com.instantiations.designer.core,8.0.0.r35x201009160631,"com.instantiations.designer.core.guiEditor",1300617162237
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1300617168323
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617171571
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617181974
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1300617182021
opened,editor,com.instantiations.designer.core,8.0.0.r35x201009160631,"com.instantiations.designer.core.guiEditor",1300617182274
activated,editor,com.instantiations.designer.core,8.0.0.r35x201009160631,"com.instantiations.designer.core.guiEditor",1300617182732
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1300617183204
activated,editor,com.instantiations.designer.core,8.0.0.r35x201009160631,"com.instantiations.designer.core.guiEditor",1300617185081
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300617193312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300617198217
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617198823
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617199748
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1300617199891
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300617200587
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1300617204975
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617206161
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617206466
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300617208691
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300617209242
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1300617221246
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1300617245998
