what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301395575235
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301395578851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301395579302
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301395585648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395591762
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395594887
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1301395596404
started,bundle,com.google.gdt.eclipse.designer.wizards,2.2.0.r36x201102111155,"com.google.gdt.eclipse.designer.wizards",1301395597132
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1301395597216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395604268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395608217
executed,command,org.eclipse.egit.ui,0.9.1,"org.eclipse.egit.ui.team.Commit",1301395608278
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1301395609970
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395613593
started,bundle,org.eclipse.jsch.ui,1.1.300.I20100505-1245,"org.eclipse.jsch.ui",1301395615533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395621728
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395622069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395634439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395636226
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395709485
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395710867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395924674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301395927984
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301396097692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301396101924
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301396107027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301396107378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301396113215
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301396142723
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1301396142977
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1301396146718
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1301396146829
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1301396147038
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1301396147072
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1301396148256
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.ExpressionView",1301396148315
